Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Text,Tokens,Tokens_No_Stopwords,Stemmed,Lemmatized,Processed_Text,TextBlob_Sentiment,VADER_Sentiment,Sentiment_Score,Mapped_Sentiment,ML_Prediction
the euphoria of a surprise birthday celebration.,Euphoria,2018-11-05 21:45:00,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15.0,30.0,UK,2018,11,5,21,the euphoria of a surprise birthday celebration,"['the', 'euphoria', 'of', 'a', 'surprise', 'birthday', 'celebration']","['euphoria', 'surprise', 'birthday', 'celebration']","['euphoria', 'surpris', 'birthday', 'celebr']","['euphoria', 'surprise', 'birthday', 'celebration']",euphoria surprise birthday celebration,Neutral,Positive,0.7506,Positive,Positive
contentment in the simplicity of a home-cooked meal.,Contentment,2015-09-12 13:20:00,HomeChef,Facebook,#Contentment #HomeCooking,25.0,50.0,India,2015,9,12,13,contentment in the simplicity of a homecooked meal,"['contentment', 'in', 'the', 'simplicity', 'of', 'a', 'homecooked', 'meal']","['contentment', 'simplicity', 'homecooked', 'meal']","['content', 'simplic', 'homecook', 'meal']","['contentment', 'simplicity', 'homecooked', 'meal']",contentment simplicity homecooked meal,Neutral,Positive,0.3612,Positive,Positive
serenity found in the melody of a peaceful piano.,Serenity,2016-07-30 18:10:00,MusicLover4,Twitter,#Serenity #PeacefulMelody,18.0,35.0,Canada,2016,7,30,18,serenity found in the melody of a peaceful piano,"['serenity', 'found', 'in', 'the', 'melody', 'of', 'a', 'peaceful', 'piano']","['serenity', 'found', 'melody', 'peaceful', 'piano']","['seren', 'found', 'melodi', 'peac', 'piano']","['serenity', 'found', 'melody', 'peaceful', 'piano']",serenity found melody peaceful piano,Positive,Positive,0.4939,Positive,Positive
gratitude for the supportive community around me.,Gratitude,2013-04-20 10:30:00,CommunityLove,Instagram,#Gratitude #CommunitySupport,30.0,60.0,USA,2013,4,20,10,gratitude for the supportive community around me,"['gratitude', 'for', 'the', 'supportive', 'community', 'around', 'me']","['gratitude', 'supportive', 'community', 'around']","['gratitud', 'support', 'commun', 'around']","['gratitude', 'supportive', 'community', 'around']",gratitude supportive community around,Positive,Positive,0.6705,Positive,Positive
hopeful about the prospects of a new business venture.,Hope,2017-12-08 19:15:00,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22.0,45.0,Canada,2017,12,8,19,hopeful about the prospects of a new business venture,"['hopeful', 'about', 'the', 'prospects', 'of', 'a', 'new', 'business', 'venture']","['hopeful', 'prospects', 'new', 'business', 'venture']","['hope', 'prospect', 'new', 'busi', 'ventur']","['hopeful', 'prospect', 'new', 'business', 'venture']",hopeful prospect new business venture,Positive,Positive,0.6705,Positive,Positive
empowerment through mentoring and guiding others.,Empowerment,2014-06-03 08:20:00,MentorEmpower,Twitter,#Empowerment #Mentorship,15.0,30.0,UK,2014,6,3,8,empowerment through mentoring and guiding others,"['empowerment', 'through', 'mentoring', 'and', 'guiding', 'others']","['empowerment', 'mentoring', 'guiding', 'others']","['empower', 'mentor', 'guid', 'other']","['empowerment', 'mentoring', 'guiding', 'others']",empowerment mentoring guiding others,Neutral,Neutral,0.0,Positive,Positive
compassion shown through acts of kindness in the community.,Compassion,2019-01-15 14:50:00,KindnessInAction,Instagram,#Compassion #CommunityKindness,18.0,35.0,Australia,2019,1,15,14,compassion shown through acts of kindness in the community,"['compassion', 'shown', 'through', 'acts', 'of', 'kindness', 'in', 'the', 'community']","['compassion', 'shown', 'acts', 'kindness', 'community']","['compass', 'shown', 'act', 'kind', 'commun']","['compassion', 'shown', 'act', 'kindness', 'community']",compassion shown act kindness community,Neutral,Positive,0.7184,Positive,Positive
tenderness in a heartfelt message to a loved one.,Tenderness,2016-12-25 19:30:00,LoveExpress,Facebook,#Tenderness #LoveNote,25.0,50.0,UK,2016,12,25,19,tenderness in a heartfelt message to a loved one,"['tenderness', 'in', 'a', 'heartfelt', 'message', 'to', 'a', 'loved', 'one']","['tenderness', 'heartfelt', 'message', 'loved', 'one']","['tender', 'heartfelt', 'messag', 'love', 'one']","['tenderness', 'heartfelt', 'message', 'loved', 'one']",tenderness heartfelt message loved one,Positive,Positive,0.8807,Positive,Positive
arousal of excitement before a much-awaited trip.,Arousal,2018-03-10 09:45:00,TravelExcitement,Twitter,#Arousal #TravelAdventure,20.0,40.0,India,2018,3,10,9,arousal of excitement before a muchawaited trip,"['arousal', 'of', 'excitement', 'before', 'a', 'muchawaited', 'trip']","['arousal', 'excitement', 'muchawaited', 'trip']","['arous', 'excit', 'muchawait', 'trip']","['arousal', 'excitement', 'muchawaited', 'trip']",arousal excitement muchawaited trip,Neutral,Positive,0.4939,Neutral,Positive
enthusiasm for a new artistic project in the works.,Enthusiasm,2020-09-17 16:30:00,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15.0,30.0,USA,2020,9,17,16,enthusiasm for a new artistic project in the works,"['enthusiasm', 'for', 'a', 'new', 'artistic', 'project', 'in', 'the', 'works']","['enthusiasm', 'new', 'artistic', 'project', 'works']","['enthusiasm', 'new', 'artist', 'project', 'work']","['enthusiasm', 'new', 'artistic', 'project', 'work']",enthusiasm new artistic project work,Positive,Positive,0.4404,Positive,Positive
feeling a sense of fulfillment after helping others.,Fulfillment,2011-08-28 18:45:00,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22.0,45.0,Canada,2011,8,28,18,feeling a sense of fulfillment after helping others,"['feeling', 'a', 'sense', 'of', 'fulfillment', 'after', 'helping', 'others']","['feeling', 'sense', 'fulfillment', 'helping', 'others']","['feel', 'sens', 'fulfil', 'help', 'other']","['feeling', 'sense', 'fulfillment', 'helping', 'others']",feeling sense fulfillment helping others,Neutral,Positive,0.4019,Positive,Positive
reverence for the historical significance of a landmark.,Reverence,2017-11-01 15:30:00,HistoryBuff,Twitter,#Reverence #HistoricalSite,18.0,35.0,Australia,2017,11,1,15,reverence for the historical significance of a landmark,"['reverence', 'for', 'the', 'historical', 'significance', 'of', 'a', 'landmark']","['reverence', 'historical', 'significance', 'landmark']","['rever', 'histor', 'signific', 'landmark']","['reverence', 'historical', 'significance', 'landmark']",reverence historical significance landmark,Neutral,Positive,0.34,Positive,Positive
elation after achieving a fitness milestone.,Elation,2019-06-15 10:00:00,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25.0,50.0,UK,2019,6,15,10,elation after achieving a fitness milestone,"['elation', 'after', 'achieving', 'a', 'fitness', 'milestone']","['elation', 'achieving', 'fitness', 'milestone']","['elat', 'achiev', 'fit', 'mileston']","['elation', 'achieving', 'fitness', 'milestone']",elation achieving fitness milestone,Neutral,Positive,0.5574,Positive,Positive
the euphoria of a successful product launch.,Euphoria,2022-04-03 11:45:00,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15.0,30.0,USA,2022,4,3,11,the euphoria of a successful product launch,"['the', 'euphoria', 'of', 'a', 'successful', 'product', 'launch']","['euphoria', 'successful', 'product', 'launch']","['euphoria', 'success', 'product', 'launch']","['euphoria', 'successful', 'product', 'launch']",euphoria successful product launch,Positive,Positive,0.8442,Positive,Positive
contentment in the embrace of a loved one.,Contentment,2010-11-12 20:20:00,LovingEmbrace,Twitter,#Contentment #Love,30.0,60.0,India,2010,11,12,20,contentment in the embrace of a loved one,"['contentment', 'in', 'the', 'embrace', 'of', 'a', 'loved', 'one']","['contentment', 'embrace', 'loved', 'one']","['content', 'embrac', 'love', 'one']","['contentment', 'embrace', 'loved', 'one']",contentment embrace loved one,Positive,Positive,0.8271,Positive,Positive
serenity found in the beauty of a sunset by the sea.,Serenity,2011-07-22 18:30:00,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22.0,45.0,Canada,2011,7,22,18,serenity found in the beauty of a sunset by the sea,"['serenity', 'found', 'in', 'the', 'beauty', 'of', 'a', 'sunset', 'by', 'the', 'sea']","['serenity', 'found', 'beauty', 'sunset', 'sea']","['seren', 'found', 'beauti', 'sunset', 'sea']","['serenity', 'found', 'beauty', 'sunset', 'sea']",serenity found beauty sunset sea,Neutral,Positive,0.5859,Positive,Positive
gratitude for the small joys that each day brings.,Gratitude,2012-03-30 11:20:00,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15.0,30.0,Australia,2012,3,30,11,gratitude for the small joys that each day brings,"['gratitude', 'for', 'the', 'small', 'joys', 'that', 'each', 'day', 'brings']","['gratitude', 'small', 'joys', 'day', 'brings']","['gratitud', 'small', 'joy', 'day', 'bring']","['gratitude', 'small', 'joy', 'day', 'brings']",gratitude small joy day brings,Positive,Positive,0.7964,Positive,Positive
hopeful about the potential for personal growth.,Hope,2013-10-05 16:40:00,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18.0,35.0,UK,2013,10,5,16,hopeful about the potential for personal growth,"['hopeful', 'about', 'the', 'potential', 'for', 'personal', 'growth']","['hopeful', 'potential', 'personal', 'growth']","['hope', 'potenti', 'person', 'growth']","['hopeful', 'potential', 'personal', 'growth']",hopeful potential personal growth,Neutral,Positive,0.7096,Positive,Positive
empowerment through learning a new skill.,Empowerment,2014-07-10 13:15:00,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25.0,50.0,India,2014,7,10,13,empowerment through learning a new skill,"['empowerment', 'through', 'learning', 'a', 'new', 'skill']","['empowerment', 'learning', 'new', 'skill']","['empower', 'learn', 'new', 'skill']","['empowerment', 'learning', 'new', 'skill']",empowerment learning new skill,Positive,Neutral,0.0,Positive,Positive
compassion in volunteering for a local charity.,Compassion,2015-12-18 14:20:00,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18.0,35.0,USA,2015,12,18,14,compassion in volunteering for a local charity,"['compassion', 'in', 'volunteering', 'for', 'a', 'local', 'charity']","['compassion', 'volunteering', 'local', 'charity']","['compass', 'volunt', 'local', 'chariti']","['compassion', 'volunteering', 'local', 'charity']",compassion volunteering local charity,Neutral,Positive,0.7003,Positive,Positive
tenderness in a quiet moment shared with a pet.,Tenderness,2016-02-10 19:45:00,PetLove,Twitter,#Tenderness #PetLove,25.0,50.0,Canada,2016,2,10,19,tenderness in a quiet moment shared with a pet,"['tenderness', 'in', 'a', 'quiet', 'moment', 'shared', 'with', 'a', 'pet']","['tenderness', 'quiet', 'moment', 'shared', 'pet']","['tender', 'quiet', 'moment', 'share', 'pet']","['tenderness', 'quiet', 'moment', 'shared', 'pet']",tenderness quiet moment shared pet,Neutral,Positive,0.6369,Positive,Positive
arousal of excitement for an upcoming festival.,Arousal,2017-09-25 11:30:00,FestivalFan,Instagram,#Arousal #FestivalExcitement,20.0,40.0,UK,2017,9,25,11,arousal of excitement for an upcoming festival,"['arousal', 'of', 'excitement', 'for', 'an', 'upcoming', 'festival']","['arousal', 'excitement', 'upcoming', 'festival']","['arous', 'excit', 'upcom', 'festiv']","['arousal', 'excitement', 'upcoming', 'festival']",arousal excitement upcoming festival,Neutral,Positive,0.7506,Neutral,Positive
enthusiasm for a diy home improvement project.,Enthusiasm,2018-04-15 16:00:00,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15.0,30.0,Australia,2018,4,15,16,enthusiasm for a diy home improvement project,"['enthusiasm', 'for', 'a', 'diy', 'home', 'improvement', 'project']","['enthusiasm', 'diy', 'home', 'improvement', 'project']","['enthusiasm', 'diy', 'home', 'improv', 'project']","['enthusiasm', 'diy', 'home', 'improvement', 'project']",enthusiasm diy home improvement project,Neutral,Positive,0.7096,Positive,Positive
fulfillment in completing a challenging puzzle.,Fulfillment,2019-11-28 18:20:00,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22.0,45.0,India,2019,11,28,18,fulfillment in completing a challenging puzzle,"['fulfillment', 'in', 'completing', 'a', 'challenging', 'puzzle']","['fulfillment', 'completing', 'challenging', 'puzzle']","['fulfil', 'complet', 'challeng', 'puzzl']","['fulfillment', 'completing', 'challenging', 'puzzle']",fulfillment completing challenging puzzle,Positive,Positive,0.1531,Positive,Positive
reverence for the wonders of nature on a hiking trail.,Reverence,2020-05-11 15:00:00,NatureAdmirer,Instagram,#Reverence #NatureExploration,18.0,35.0,USA,2020,5,11,15,reverence for the wonders of nature on a hiking trail,"['reverence', 'for', 'the', 'wonders', 'of', 'nature', 'on', 'a', 'hiking', 'trail']","['reverence', 'wonders', 'nature', 'hiking', 'trail']","['rever', 'wonder', 'natur', 'hike', 'trail']","['reverence', 'wonder', 'nature', 'hiking', 'trail']",reverence wonder nature hiking trail,Neutral,Neutral,0.0,Positive,Positive
elation after a surprise reunion with a childhood friend.,Elation,2021-02-05 09:30:00,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25.0,50.0,Canada,2021,2,5,9,elation after a surprise reunion with a childhood friend,"['elation', 'after', 'a', 'surprise', 'reunion', 'with', 'a', 'childhood', 'friend']","['elation', 'surprise', 'reunion', 'childhood', 'friend']","['elat', 'surpris', 'reunion', 'childhood', 'friend']","['elation', 'surprise', 'reunion', 'childhood', 'friend']",elation surprise reunion childhood friend,Neutral,Positive,0.7783,Positive,Positive
suffering from despair after another setback.,Despair,2021-03-10 08:30:00,StrugglingSoul,Twitter,#Despair #Struggle,5.0,10.0,USA,2021,3,10,8,suffering from despair after another setback,"['suffering', 'from', 'despair', 'after', 'another', 'setback']","['suffering', 'despair', 'another', 'setback']","['suffer', 'despair', 'anoth', 'setback']","['suffering', 'despair', 'another', 'setback']",suffering despair another setback,Neutral,Negative,-0.6597,Negative,Negative
"overwhelmed by grief, missing a loved one dearly.",Grief,2022-07-05 15:45:00,MourningHeart,Instagram,#Grief #Loss,8.0,15.0,Canada,2022,7,5,15,overwhelmed by grief missing a loved one dearly,"['overwhelmed', 'by', 'grief', 'missing', 'a', 'loved', 'one', 'dearly']","['overwhelmed', 'grief', 'missing', 'loved', 'one', 'dearly']","['overwhelm', 'grief', 'miss', 'love', 'one', 'dearli']","['overwhelmed', 'grief', 'missing', 'loved', 'one', 'dearly']",overwhelmed grief missing loved one dearly,Negative,Positive,0.3612,Negative,Positive
loneliness creeps in as the night grows colder.,Loneliness,2019-11-18 21:20:00,SolitarySoul,Facebook,#Loneliness #Isolation,10.0,20.0,UK,2019,11,18,21,loneliness creeps in as the night grows colder,"['loneliness', 'creeps', 'in', 'as', 'the', 'night', 'grows', 'colder']","['loneliness', 'creeps', 'night', 'grows', 'colder']","['loneli', 'creep', 'night', 'grow', 'colder']","['loneliness', 'creep', 'night', 'grows', 'colder']",loneliness creep night grows colder,Neutral,Negative,-0.4215,Negative,Positive
jealousy consumes me as i witness others' success.,Jealousy,2020-08-12 11:30:00,EnviousObserver,Twitter,#Jealousy #Envy,12.0,25.0,India,2020,8,12,11,jealousy consumes me as i witness others success,"['jealousy', 'consumes', 'me', 'as', 'i', 'witness', 'others', 'success']","['jealousy', 'consumes', 'witness', 'others', 'success']","['jealousi', 'consum', 'wit', 'other', 'success']","['jealousy', 'consumes', 'witness', 'others', 'success']",jealousy consumes witness others success,Positive,Positive,0.34,Negative,Negative
resentment building up over past betrayals.,Resentment,2018-05-22 14:45:00,BitterHeart,Instagram,#Resentment #Bitterness,7.0,15.0,Australia,2018,5,22,14,resentment building up over past betrayals,"['resentment', 'building', 'up', 'over', 'past', 'betrayals']","['resentment', 'building', 'past', 'betrayals']","['resent', 'build', 'past', 'betray']","['resentment', 'building', 'past', 'betrayal']",resentment building past betrayal,Negative,Negative,-0.7717,Negative,Negative
frustration mounts as obstacles block my path.,Frustration,2017-01-30 16:10:00,BlockedGoals,Facebook,#Frustration #Obstacles,10.0,20.0,USA,2017,1,30,16,frustration mounts as obstacles block my path,"['frustration', 'mounts', 'as', 'obstacles', 'block', 'my', 'path']","['frustration', 'mounts', 'obstacles', 'block', 'path']","['frustrat', 'mount', 'obstacl', 'block', 'path']","['frustration', 'mount', 'obstacle', 'block', 'path']",frustration mount obstacle block path,Neutral,Negative,-0.8176,Negative,Negative
"boredom sets in, the day feels endlessly dull.",Boredom,2016-09-28 19:45:00,BoredMind,Twitter,#Boredom #LackOfInterest,8.0,15.0,Canada,2016,9,28,19,boredom sets in the day feels endlessly dull,"['boredom', 'sets', 'in', 'the', 'day', 'feels', 'endlessly', 'dull']","['boredom', 'sets', 'day', 'feels', 'endlessly', 'dull']","['boredom', 'set', 'day', 'feel', 'endlessli', 'dull']","['boredom', 'set', 'day', 'feel', 'endlessly', 'dull']",boredom set day feel endlessly dull,Negative,Negative,-0.6124,Negative,Negative
"anxiety grips my heart, worry clouds my thoughts.",Anxiety,2019-04-15 09:00:00,WorriedMind,Instagram,#Anxiety #Worry,12.0,25.0,UK,2019,4,15,9,anxiety grips my heart worry clouds my thoughts,"['anxiety', 'grips', 'my', 'heart', 'worry', 'clouds', 'my', 'thoughts']","['anxiety', 'grips', 'heart', 'worry', 'clouds', 'thoughts']","['anxieti', 'grip', 'heart', 'worri', 'cloud', 'thought']","['anxiety', 'grip', 'heart', 'worry', 'cloud', 'thought']",anxiety grip heart worry cloud thought,Neutral,Positive,0.1531,Negative,Negative
intimidation by the unknown future ahead.,Intimidation,2021-12-03 18:30:00,FearfulSoul,Facebook,#Intimidation #Fear,15.0,30.0,India,2021,12,3,18,intimidation by the unknown future ahead,"['intimidation', 'by', 'the', 'unknown', 'future', 'ahead']","['intimidation', 'unknown', 'future', 'ahead']","['intimid', 'unknown', 'futur', 'ahead']","['intimidation', 'unknown', 'future', 'ahead']",intimidation unknown future ahead,Negative,Negative,-0.4215,Negative,Negative
helplessness sinks in as challenges pile up.,Helplessness,2020-06-20 14:20:00,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8.0,15.0,Australia,2020,6,20,14,helplessness sinks in as challenges pile up,"['helplessness', 'sinks', 'in', 'as', 'challenges', 'pile', 'up']","['helplessness', 'sinks', 'challenges', 'pile']","['helpless', 'sink', 'challeng', 'pile']","['helplessness', 'sink', 'challenge', 'pile']",helplessness sink challenge pile,Neutral,Negative,-0.4215,Negative,Negative
envy eats away at me as i see others' prosperity.,Envy,2018-11-07 11:30:00,CovetousMind,Instagram,#Envy #Desire,10.0,20.0,Canada,2018,11,7,11,envy eats away at me as i see others prosperity,"['envy', 'eats', 'away', 'at', 'me', 'as', 'i', 'see', 'others', 'prosperity']","['envy', 'eats', 'away', 'see', 'others', 'prosperity']","['envi', 'eat', 'away', 'see', 'other', 'prosper']","['envy', 'eats', 'away', 'see', 'others', 'prosperity']",envy eats away see others prosperity,Neutral,Negative,-0.2732,Negative,Negative
regret over missed opportunities haunts my thoughts.,Regret,2017-08-25 16:00:00,RemorsefulSoul,Facebook,#Regret #MissedChances,12.0,25.0,UK,2017,8,25,16,regret over missed opportunities haunts my thoughts,"['regret', 'over', 'missed', 'opportunities', 'haunts', 'my', 'thoughts']","['regret', 'missed', 'opportunities', 'haunts', 'thoughts']","['regret', 'miss', 'opportun', 'haunt', 'thought']","['regret', 'missed', 'opportunity', 'haunt', 'thought']",regret missed opportunity haunt thought,Neutral,Negative,-0.5994,Negative,Positive
disgust at the sight of injustice and cruelty.,Disgust,2019-02-11 09:45:00,DisgustedHeart,Twitter,#Disgust #Injustice,7.0,15.0,India,2019,2,11,9,disgust at the sight of injustice and cruelty,"['disgust', 'at', 'the', 'sight', 'of', 'injustice', 'and', 'cruelty']","['disgust', 'sight', 'injustice', 'cruelty']","['disgust', 'sight', 'injustic', 'cruelti']","['disgust', 'sight', 'injustice', 'cruelty']",disgust sight injustice cruelty,Neutral,Negative,-0.91,Negative,Negative
"drowning in despair, hope slipping through my fingers.",Despair,2016-04-02 20:20:00,HopelessHeart,Instagram,#Despair #Hopeless,10.0,20.0,USA,2016,4,2,20,drowning in despair hope slipping through my fingers,"['drowning', 'in', 'despair', 'hope', 'slipping', 'through', 'my', 'fingers']","['drowning', 'despair', 'hope', 'slipping', 'fingers']","['drown', 'despair', 'hope', 'slip', 'finger']","['drowning', 'despair', 'hope', 'slipping', 'finger']",drowning despair hope slipping finger,Negative,Positive,0.1531,Negative,Negative
"grief weighs heavy, tears a constant companion.",Grief,2015-10-18 15:30:00,TearfulSoul,Facebook,#Grief #Tears,12.0,25.0,Canada,2015,10,18,15,grief weighs heavy tears a constant companion,"['grief', 'weighs', 'heavy', 'tears', 'a', 'constant', 'companion']","['grief', 'weighs', 'heavy', 'tears', 'constant', 'companion']","['grief', 'weigh', 'heavi', 'tear', 'constant', 'companion']","['grief', 'weighs', 'heavy', 'tear', 'constant', 'companion']",grief weighs heavy tear constant companion,Negative,Negative,-0.4939,Negative,Negative
"loneliness in a crowded room, a silent cry for connection.",Loneliness,2019-07-12 18:10:00,IsolatedMind,Twitter,#Loneliness #SeekingConnection,15.0,30.0,UK,2019,7,12,18,loneliness in a crowded room a silent cry for connection,"['loneliness', 'in', 'a', 'crowded', 'room', 'a', 'silent', 'cry', 'for', 'connection']","['loneliness', 'crowded', 'room', 'silent', 'cry', 'connection']","['loneli', 'crowd', 'room', 'silent', 'cri', 'connect']","['loneliness', 'crowded', 'room', 'silent', 'cry', 'connection']",loneliness crowded room silent cry connection,Neutral,Negative,-0.7096,Negative,Negative
"jealousy gnaws at my confidence, a toxic emotion.",Jealousy,2018-06-03 16:30:00,SelfDoubt,Instagram,#Jealousy #Insecurity,8.0,15.0,India,2018,6,3,16,jealousy gnaws at my confidence a toxic emotion,"['jealousy', 'gnaws', 'at', 'my', 'confidence', 'a', 'toxic', 'emotion']","['jealousy', 'gnaws', 'confidence', 'toxic', 'emotion']","['jealousi', 'gnaw', 'confid', 'toxic', 'emot']","['jealousy', 'gnaws', 'confidence', 'toxic', 'emotion']",jealousy gnaws confidence toxic emotion,Neutral,Positive,0.25,Negative,Negative
"resentment festers, poisoning relationships.",Resentment,2022-01-15 12:00:00,BrokenTrust,Facebook,#Resentment #BrokenTrust,10.0,20.0,Australia,2022,1,15,12,resentment festers poisoning relationships,"['resentment', 'festers', 'poisoning', 'relationships']","['resentment', 'festers', 'poisoning', 'relationships']","['resent', 'fester', 'poison', 'relationship']","['resentment', 'fester', 'poisoning', 'relationship']",resentment fester poisoning relationship,Neutral,Negative,-0.7717,Negative,Negative
"frustration boils over, a volcanic eruption of emotions.",Frustration,2017-04-10 14:45:00,ExplosiveMind,Twitter,#Frustration #EmotionalOutburst,12.0,25.0,USA,2017,4,10,14,frustration boils over a volcanic eruption of emotions,"['frustration', 'boils', 'over', 'a', 'volcanic', 'eruption', 'of', 'emotions']","['frustration', 'boils', 'volcanic', 'eruption', 'emotions']","['frustrat', 'boil', 'volcan', 'erupt', 'emot']","['frustration', 'boil', 'volcanic', 'eruption', 'emotion']",frustration boil volcanic eruption emotion,Neutral,Negative,-0.4767,Negative,Positive
"boredom settles like dust, life feels mundane.",Boredom,2016-11-28 19:00:00,MundaneHeart,Instagram,#Boredom #Monotony,7.0,15.0,Canada,2016,11,28,19,boredom settles like dust life feels mundane,"['boredom', 'settles', 'like', 'dust', 'life', 'feels', 'mundane']","['boredom', 'settles', 'like', 'dust', 'life', 'feels', 'mundane']","['boredom', 'settl', 'like', 'dust', 'life', 'feel', 'mundan']","['boredom', 'settle', 'like', 'dust', 'life', 'feel', 'mundane']",boredom settle like dust life feel mundane,Negative,Positive,0.0516,Negative,Negative
"anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,2018-09-05 09:30:00,RestlessMind,Facebook,#Anxiety #Restlessness,10.0,20.0,UK,2018,9,5,9,anxiety grips my chest a relentless grip on my thoughts,"['anxiety', 'grips', 'my', 'chest', 'a', 'relentless', 'grip', 'on', 'my', 'thoughts']","['anxiety', 'grips', 'chest', 'relentless', 'grip', 'thoughts']","['anxieti', 'grip', 'chest', 'relentless', 'grip', 'thought']","['anxiety', 'grip', 'chest', 'relentless', 'grip', 'thought']",anxiety grip chest relentless grip thought,Neutral,Negative,-0.128,Negative,Negative
"intimidation by the challenges ahead, fear takes hold.",Intimidation,2021-10-22 18:30:00,FearfulJourney,Twitter,#Intimidation #FacingFear,15.0,30.0,India,2021,10,22,18,intimidation by the challenges ahead fear takes hold,"['intimidation', 'by', 'the', 'challenges', 'ahead', 'fear', 'takes', 'hold']","['intimidation', 'challenges', 'ahead', 'fear', 'takes', 'hold']","['intimid', 'challeng', 'ahead', 'fear', 'take', 'hold']","['intimidation', 'challenge', 'ahead', 'fear', 'take', 'hold']",intimidation challenge ahead fear take hold,Neutral,Negative,-0.6908,Negative,Negative
"helplessness engulfs me, drowning in a sea of problems.",Helplessness,2019-05-08 14:20:00,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8.0,15.0,Australia,2019,5,8,14,helplessness engulfs me drowning in a sea of problems,"['helplessness', 'engulfs', 'me', 'drowning', 'in', 'a', 'sea', 'of', 'problems']","['helplessness', 'engulfs', 'drowning', 'sea', 'problems']","['helpless', 'engulf', 'drown', 'sea', 'problem']","['helplessness', 'engulfs', 'drowning', 'sea', 'problem']",helplessness engulfs drowning sea problem,Neutral,Negative,-0.7003,Negative,Negative
"envy poisons my thoughts, coveting others' success.",Envy,2017-03-20 11:30:00,GreenEyedMonster,Facebook,#Envy #Success,10.0,20.0,Canada,2017,3,20,11,envy poisons my thoughts coveting others success,"['envy', 'poisons', 'my', 'thoughts', 'coveting', 'others', 'success']","['envy', 'poisons', 'thoughts', 'coveting', 'others', 'success']","['envi', 'poison', 'thought', 'covet', 'other', 'success']","['envy', 'poison', 'thought', 'coveting', 'others', 'success']",envy poison thought coveting others success,Positive,Negative,-0.2263,Negative,Negative
regret for decisions that led to a painful present.,Regret,2018-12-15 16:00:00,RegretfulMind,Twitter,#Regret #PastChoices,12.0,25.0,USA,2018,12,15,16,regret for decisions that led to a painful present,"['regret', 'for', 'decisions', 'that', 'led', 'to', 'a', 'painful', 'present']","['regret', 'decisions', 'led', 'painful', 'present']","['regret', 'decis', 'led', 'pain', 'present']","['regret', 'decision', 'led', 'painful', 'present']",regret decision led painful present,Negative,Negative,-0.6908,Negative,Negative
disgust at the corruption that stains society.,Disgust,2016-07-01 09:45:00,CorruptedHeart,Instagram,#Disgust #Corruption,7.0,15.0,UK,2016,7,1,9,disgust at the corruption that stains society,"['disgust', 'at', 'the', 'corruption', 'that', 'stains', 'society']","['disgust', 'corruption', 'stains', 'society']","['disgust', 'corrupt', 'stain', 'societi']","['disgust', 'corruption', 'stain', 'society']",disgust corruption stain society,Neutral,Negative,-0.5994,Negative,Negative
"sinking in despair, each day darker than the last.",Despair,2020-08-20 20:20:00,DrowningSoul,Facebook,#Despair #DarkDays,10.0,20.0,India,2020,8,20,20,sinking in despair each day darker than the last,"['sinking', 'in', 'despair', 'each', 'day', 'darker', 'than', 'the', 'last']","['sinking', 'despair', 'day', 'darker', 'last']","['sink', 'despair', 'day', 'darker', 'last']","['sinking', 'despair', 'day', 'darker', 'last']",sinking despair day darker last,Neutral,Negative,-0.3182,Negative,Negative
"grief overwhelms, a storm of emotions within.",Grief,2021-02-25 15:30:00,StormyHeart,Twitter,#Grief #EmotionalStorm,12.0,25.0,Canada,2021,2,25,15,grief overwhelms a storm of emotions within,"['grief', 'overwhelms', 'a', 'storm', 'of', 'emotions', 'within']","['grief', 'overwhelms', 'storm', 'emotions', 'within']","['grief', 'overwhelm', 'storm', 'emot', 'within']","['grief', 'overwhelms', 'storm', 'emotion', 'within']",grief overwhelms storm emotion within,Negative,Negative,-0.6124,Negative,Negative
